STATE,NAME,POPULATION,YEAR,AGE,SEX,RACE,COUNTY
72,Puerto Rico,289537,2000,1,0,0,000
72,Puerto Rico,283132,2001,1,0,0,000
72,Puerto Rico,275082,2002,1,0,0,000
72,Puerto Rico,267592,2003,1,0,0,000
72,Puerto Rico,259581,2004,1,0,0,000
72,Puerto Rico,250086,2005,1,0,0,000
72,Puerto Rico,241844,2006,1,0,0,000
72,Puerto Rico,235252,2007,1,0,0,000
72,Puerto Rico,229233,2008,1,0,0,000
72,Puerto Rico,148240,2000,1,1,0,000
72,Puerto Rico,144817,2001,1,1,0,000
72,Puerto Rico,140687,2002,1,1,0,000
72,Puerto Rico,136835,2003,1,1,0,000
72,Puerto Rico,132832,2004,1,1,0,000
72,Puerto Rico,128055,2005,1,1,0,000
72,Puerto Rico,123906,2006,1,1,0,000
72,Puerto Rico,120634,2007,1,1,0,000
72,Puerto Rico,117558,2008,1,1,0,000
72,Puerto Rico,141297,2000,1,2,0,000
72,Puerto Rico,138315,2001,1,2,0,000
72,Puerto Rico,134395,2002,1,2,0,000
72,Puerto Rico,130757,2003,1,2,0,000
72,Puerto Rico,126749,2004,1,2,0,000
72,Puerto Rico,122031,2005,1,2,0,000
72,Puerto Rico,117938,2006,1,2,0,000
72,Puerto Rico,114618,2007,1,2,0,000
72,Puerto Rico,111675,2008,1,2,0,000
72,Puerto Rico,301924,2000,2,0,0,000
72,Puerto Rico,299121,2001,2,0,0,000
72,Puerto Rico,294808,2002,2,0,0,000
72,Puerto Rico,289667,2003,2,0,0,000
72,Puerto Rico,283641,2004,2,0,0,000
72,Puerto Rico,276804,2005,2,0,0,000
72,Puerto Rico,267718,2006,2,0,0,000
72,Puerto Rico,257073,2007,2,0,0,000
72,Puerto Rico,247195,2008,2,0,0,000
72,Puerto Rico,154434,2000,2,1,0,000
72,Puerto Rico,153068,2001,2,1,0,000
72,Puerto Rico,151033,2002,2,1,0,000
72,Puerto Rico,148436,2003,2,1,0,000
72,Puerto Rico,145120,2004,2,1,0,000
72,Puerto Rico,141665,2005,2,1,0,000
72,Puerto Rico,136972,2006,2,1,0,000
72,Puerto Rico,131685,2007,2,1,0,000
72,Puerto Rico,126784,2008,2,1,0,000
72,Puerto Rico,147490,2000,2,2,0,000
72,Puerto Rico,146053,2001,2,2,0,000
72,Puerto Rico,143775,2002,2,2,0,000
72,Puerto Rico,141231,2003,2,2,0,000
72,Puerto Rico,138521,2004,2,2,0,000
72,Puerto Rico,135139,2005,2,2,0,000
72,Puerto Rico,130746,2006,2,2,0,000
72,Puerto Rico,125388,2007,2,2,0,000
72,Puerto Rico,120411,2008,2,2,0,000
72,Puerto Rico,305335,2000,3,0,0,000
72,Puerto Rico,303709,2001,3,0,0,000
72,Puerto Rico,302613,2002,3,0,0,000
72,Puerto Rico,300245,2003,3,0,0,000
72,Puerto Rico,295101,2004,3,0,0,000
72,Puerto Rico,291099,2005,3,0,0,000
72,Puerto Rico,286459,2006,3,0,0,000
72,Puerto Rico,280485,2007,3,0,0,000
72,Puerto Rico,273785,2008,3,0,0,000
72,Puerto Rico,155920,2000,3,1,0,000
72,Puerto Rico,155133,2001,3,1,0,000
72,Puerto Rico,154464,2002,3,1,0,000
72,Puerto Rico,153129,2003,3,1,0,000
72,Puerto Rico,150573,2004,3,1,0,000
72,Puerto Rico,148428,2005,3,1,0,000
72,Puerto Rico,146162,2006,3,1,0,000
72,Puerto Rico,143369,2007,3,1,0,000
72,Puerto Rico,140100,2008,3,1,0,000
72,Puerto Rico,149415,2000,3,2,0,000
72,Puerto Rico,148576,2001,3,2,0,000
72,Puerto Rico,148149,2002,3,2,0,000
72,Puerto Rico,147116,2003,3,2,0,000
72,Puerto Rico,144528,2004,3,2,0,000
