STATE,NAME,YEAR,AGE,SEX,LaunchYear,Mean,Lower80,Upper80
72,Puerto Rico,2000,1,1,2015,148240,148240,148240
72,Puerto Rico,2001,1,1,2015,144817,144817,144817
72,Puerto Rico,2002,1,1,2015,140687,140687,140687
72,Puerto Rico,2003,1,1,2015,136835,136835,136835
72,Puerto Rico,2004,1,1,2015,132832,132832,132832
72,Puerto Rico,2005,1,1,2015,128055,128055,128055
72,Puerto Rico,2006,1,1,2015,123906,123906,123906
72,Puerto Rico,2007,1,1,2015,120634,120634,120634
72,Puerto Rico,2008,1,1,2015,117558,117558,117558
72,Puerto Rico,2000,1,2,2015,141297,141297,141297
72,Puerto Rico,2001,1,2,2015,138315,138315,138315
72,Puerto Rico,2002,1,2,2015,134395,134395,134395
72,Puerto Rico,2003,1,2,2015,130757,130757,130757
72,Puerto Rico,2004,1,2,2015,126749,126749,126749
72,Puerto Rico,2005,1,2,2015,122031,122031,122031
72,Puerto Rico,2006,1,2,2015,117938,117938,117938
72,Puerto Rico,2007,1,2,2015,114618,114618,114618
72,Puerto Rico,2008,1,2,2015,111675,111675,111675
72,Puerto Rico,2000,2,1,2015,154434,154434,154434
72,Puerto Rico,2001,2,1,2015,153068,153068,153068
72,Puerto Rico,2002,2,1,2015,151033,151033,151033
72,Puerto Rico,2003,2,1,2015,148436,148436,148436
72,Puerto Rico,2004,2,1,2015,145120,145120,145120
72,Puerto Rico,2005,2,1,2015,141665,141665,141665
72,Puerto Rico,2006,2,1,2015,136972,136972,136972
72,Puerto Rico,2007,2,1,2015,131685,131685,131685
72,Puerto Rico,2008,2,1,2015,126784,126784,126784
72,Puerto Rico,2000,2,2,2015,147490,147490,147490
72,Puerto Rico,2001,2,2,2015,146053,146053,146053
72,Puerto Rico,2002,2,2,2015,143775,143775,143775
72,Puerto Rico,2003,2,2,2015,141231,141231,141231
72,Puerto Rico,2004,2,2,2015,138521,138521,138521
72,Puerto Rico,2005,2,2,2015,135139,135139,135139
72,Puerto Rico,2006,2,2,2015,130746,130746,130746
72,Puerto Rico,2007,2,2,2015,125388,125388,125388
72,Puerto Rico,2008,2,2,2015,120411,120411,120411
72,Puerto Rico,2000,3,1,2015,155920,155920,155920
72,Puerto Rico,2001,3,1,2015,155133,155133,155133
72,Puerto Rico,2002,3,1,2015,154464,154464,154464
72,Puerto Rico,2003,3,1,2015,153129,153129,153129
72,Puerto Rico,2004,3,1,2015,150573,150573,150573
72,Puerto Rico,2005,3,1,2015,148428,148428,148428
72,Puerto Rico,2006,3,1,2015,146162,146162,146162
72,Puerto Rico,2007,3,1,2015,143369,143369,143369
72,Puerto Rico,2008,3,1,2015,140100,140100,140100
72,Puerto Rico,2000,3,2,2015,149415,149415,149415
72,Puerto Rico,2001,3,2,2015,148576,148576,148576
72,Puerto Rico,2002,3,2,2015,148149,148149,148149
72,Puerto Rico,2003,3,2,2015,147116,147116,147116
72,Puerto Rico,2004,3,2,2015,144528,144528,144528
72,Puerto Rico,2005,3,2,2015,142671,142671,142671
72,Puerto Rico,2006,3,2,2015,140297,140297,140297
72,Puerto Rico,2007,3,2,2015,137116,137116,137116
72,Puerto Rico,2008,3,2,2015,133685,133685,133685
72,Puerto Rico,2000,4,1,2015,156319,156319,156319
72,Puerto Rico,2001,4,1,2015,153914,153914,153914
72,Puerto Rico,2002,4,1,2015,151565,151565,151565
72,Puerto Rico,2003,4,1,2015,150891,150891,150891
72,Puerto Rico,2004,4,1,2015,151692,151692,151692
72,Puerto Rico,2005,4,1,2015,151162,151162,151162
72,Puerto Rico,2006,4,1,2015,149682,149682,149682
72,Puerto Rico,2007,4,1,2015,148630,148630,148630
72,Puerto Rico,2008,4,1,2015,146908,146908,146908
72,Puerto Rico,2000,4,2,2015,150684,150684,150684
72,Puerto Rico,2001,4,2,2015,148106,148106,148106
72,Puerto Rico,2002,4,2,2015,146417,146417,146417
72,Puerto Rico,2003,4,2,2015,145877,145877,145877
